                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                 0.0991,                 0.0001,                 0.0001
                      2,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                 0.0973,              0.0002997,              0.0002997
                      3,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.095499,             0.00049901,             0.00049901
                      4,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.093698,             0.00069792,             0.00069792
